Fecha,Autor_ID,Contenido
2025-06-17 01:42:11+00:00,1448106958788104198,@edufeiok El cucú sale al balcón cada hora. La voy a extrañar cuando no salga más porque debe cumplir la sentencia
2025-06-17 01:42:05+00:00,756327084,"Me encanta la subtrama del Mundial de Clubes en pleno auge de la tercera guerra mundial y la condena de Cristina. Toca ser experto en futbol, derecho y geopolítica todo en la misma semana."
2025-06-17 01:41:58+00:00,1896752328520118272,"@BrancatelliVip @PJZurro Argentina con Cristina, les van a hacer una vagina!!!"
2025-06-17 01:41:54+00:00,1365607806,Máximo Kirchner a 70 años del bombardeo a Plaza de Mayo en el acto de la Juventud Peronista en el Partido Justicialista. ✌🏼🇦🇷 https://t.co/mRyFrEvTIL
2025-06-17 01:41:46+00:00,1365607806,Máximo Kirchner a 70 años del bombardeo a Plaza de Mayo en el acto de la Juventud Peronista en el Partido Justicialista. ✌🏼🇦🇷 https://t.co/ipxgkTvOMM
2025-06-17 01:41:46+00:00,259385749,"Los K unidos en jorobar a la humanidad, con la complicidad de la burocracia. Gustavo Lazzari contó su travesía en la Autopista Buenos Aires - La Plata cortada por partidarios de CFK - Infobae https://t.co/yTjV8T7rCW"
2025-06-17 01:41:41+00:00,210615936,"en el grupo del profesorado acaban de subir una encuesta de suspender las clases, justificar la falta o no hacer nada el miércoles 18 por la condena de Cristina, por dios, ni yo tengo tan pocas ganas de cursar como esta gente dejense de jodeeeeer mamarrachooooo"
2025-06-17 01:41:41+00:00,18572763,"@FabioRavida Si no querés chorros, no querés a Macri ni al gabinete de Macri con un títere a la cabeza como ahora ¿No?
Yo, pudiendo elegir, no quiero chorros, por eso apoyo a Cristina a la que tuvieron que amañarle un juicio porque no pudieron probarle nada. Pero antes quiero *kirchnerismo*."
2025-06-17 01:41:41+00:00,2836059055,"La izquierda lo peor:

*Cristina Kirchner -corrupta, sentenciada 
*Evo Morales -prófugo,pedófilo 
*Nicolás Maduro -dictador,narco
*Rafael Correa -corrupto, sentenciado
*Alberto Fernández -golpeador de mujeres
*Díaz Canel -dictador, genocida
*Lula Da Silva- corrupto,sentenciado https://t.co/RVfnxqkFEk"
2025-06-17 01:41:39+00:00,1365607806,Máximo Kirchner a 70 años del bombardeo a Plaza de Mayo en el acto de la Juventud Peronista en el Partido Justicialista. ✌🏼🇦🇷 https://t.co/JWE9EHx8XH
2025-06-17 01:41:38+00:00,924844150473789440,@C5N 🇦🇷🇦🇷🇦🇷✌🏻✌🏻✌🏻❤️❤️❤️✌🏻✌🏻✌🏻🇦🇷🇦🇷🇦🇷💐💐💜💜💜🙏🏻🇦🇷💐✌🏻 CRISTINA ES PATRIA Y LA PATRIA SE DEFIENDE ✌🏻✌🏻🇦🇷🇦🇷🇦🇷❤️❤️❤️❤️🇦🇷🇦🇷❤️✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻🇦🇷✌🏻🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷
